MSA,Year,nSNAP
"Detroit-Warren-Dearborn, MI MSA",2013,11178825
"Detroit-Warren-Dearborn, MI MSA",2014,10699095
"Detroit-Warren-Dearborn, MI MSA",2015,10185870
"Detroit-Warren-Dearborn, MI MSA",2016,9639795
"Detroit-Warren-Dearborn, MI MSA",2017,9060000
"Detroit-Warren-Dearborn, MI MSA",2018,8400270
"Detroit-Warren-Dearborn, MI MSA",2019,8713740
"Detroit-Warren-Dearborn, MI MSA",2020,8891580
"Fresno, CA MSA",2007,2247180
"Fresno, CA MSA",2008,2609235
"Fresno, CA MSA",2009,3111630
"Fresno, CA MSA",2010,3432645
"Fresno, CA MSA",2011,3591015
"Fresno, CA MSA",2012,3692820
"Fresno, CA MSA",2013,3749865
"Fresno, CA MSA",2014,3843870
"Fresno, CA MSA",2015,3812475
"Fresno, CA MSA",2016,3617400
"Fresno, CA MSA",2017,3429840
"Fresno, CA MSA",2018,3451275
"Fresno, CA MSA",2019,3742650
"Fresno, CA MSA",2020,3918720
"Houston-The Woodlands-Sugar Land, TX MSA",2007,668925
"Houston-The Woodlands-Sugar Land, TX MSA",2008,838350
"Houston-The Woodlands-Sugar Land, TX MSA",2009,945765
"Houston-The Woodlands-Sugar Land, TX MSA",2010,1166430
"Houston-The Woodlands-Sugar Land, TX MSA",2011,1299660
"Houston-The Woodlands-Sugar Land, TX MSA",2012,1360515
"Houston-The Woodlands-Sugar Land, TX MSA",2013,1330200
"Houston-The Woodlands-Sugar Land, TX MSA",2014,1308915
"Houston-The Woodlands-Sugar Land, TX MSA",2015,1330560
"Houston-The Woodlands-Sugar Land, TX MSA",2016,1437570
"Houston-The Woodlands-Sugar Land, TX MSA",2017,1446405
"Houston-The Woodlands-Sugar Land, TX MSA",2018,1372950
"Houston-The Woodlands-Sugar Land, TX MSA",2019,1361805
"Houston-The Woodlands-Sugar Land, TX MSA",2020,1607490
"Indianapolis-Carmel-Anderson, IN MSA",2007,1784745
"Indianapolis-Carmel-Anderson, IN MSA",2008,2064630
"Indianapolis-Carmel-Anderson, IN MSA",2009,2446920
"Indianapolis-Carmel-Anderson, IN MSA",2010,2655405
"Indianapolis-Carmel-Anderson, IN MSA",2011,2781660
"Indianapolis-Carmel-Anderson, IN MSA",2012,3008505
"Indianapolis-Carmel-Anderson, IN MSA",2013,3021555
"Indianapolis-Carmel-Anderson, IN MSA",2014,2896890
"Indianapolis-Carmel-Anderson, IN MSA",2015,2612460
